date,time,lat,lon,speed
2016-04-02,14:46:51,31.749266,34.993031,5
2016-04-02,14:46:53,31.749265,34.993069,5
2016-04-02,14:46:55,31.749269,34.993103,5
2016-04-02,14:46:56,31.749275,34.993118,5
2016-04-02,14:46:58,31.749289,34.993147,5
2016-04-02,14:46:59,31.749296,34.993161,5
2016-04-02,14:47:01,31.749307,34.993187,5
2016-04-02,14:47:03,31.749316,34.993214,5
2016-04-02,14:47:04,31.749317,34.993229,5
2016-04-02,14:47:06,31.749316,34.99326,5
2016-04-02,14:47:07,31.749317,34.993275,5
2016-04-02,14:47:08,31.749322,34.99329,5
2016-04-02,14:47:10,31.74933,34.993318,5
2016-04-02,14:47:11,31.749334,34.993332,5
2016-04-02,14:47:13,31.749337,34.993363,5
2016-04-02,14:47:14,31.749337,34.99338,5
2016-04-02,14:47:16,31.74934,34.993414,5
2016-04-02,14:47:17,31.749342,34.993431,5
2016-04-02,14:47:19,31.749347,34.993466,5
2016-04-02,14:47:21,31.749353,34.993502,5
2016-04-02,14:47:22,31.749355,34.993523,5
2016-04-02,14:47:24,31.749358,34.993562,5
2016-04-02,14:47:26,31.74936,34.993598,5
2016-04-02,14:47:28,31.749365,34.993634,5
2016-04-02,14:47:30,31.749381,34.993668,5
2016-04-02,14:47:31,31.749387,34.993685,5
2016-04-02,14:47:32,31.749389,34.993704,5
2016-04-02,14:47:34,31.749382,34.99374,5
2016-04-02,14:47:36,31.749374,34.993788,5
2016-04-02,14:47:38,31.749369,34.99382,5
2016-04-02,14:47:39,31.749368,34.993831,5
2016-04-02,14:47:41,31.749368,34.993851,5
2016-04-02,14:47:42,31.749368,34.993861,5
2016-04-02,14:47:44,31.749367,34.993879,5
2016-04-02,14:47:46,31.749366,34.9939,5
2016-04-02,14:47:47,31.749367,34.993898,5
2016-04-02,14:47:48,31.749365,34.993907,5
2016-04-02,14:47:49,31.749363,34.993916,5
2016-04-02,14:47:50,31.749359,34.993925,5
2016-04-02,14:47:52,31.749354,34.99394,5
2016-04-02,14:47:54,31.749354,34.993959,5
2016-04-02,14:47:56,31.749353,34.993988,5
2016-04-02,14:47:58,31.74934,34.99402,5
2016-04-02,14:48:00,31.749332,34.994044,5
2016-04-02,14:48:02,31.749316,34.994063,5
2016-04-02,14:48:04,31.749294,34.994098,5
2016-04-02,14:48:05,31.749282,34.994121,5
2016-04-02,14:48:06,31.749273,34.994143,5
2016-04-02,14:48:08,31.749256,34.994183,5
2016-04-02,14:48:09,31.749243,34.994201,5
2016-04-02,14:48:11,31.749219,34.994238,5
2016-04-02,14:48:13,31.749198,34.994273,5
2016-04-02,14:48:14,31.749192,34.994294,5
2016-04-02,14:48:16,31.749181,34.994326,5
2016-04-02,14:48:18,31.749174,34.994363,5
2016-04-02,14:48:19,31.74917,34.994381,5
2016-04-02,14:48:20,31.749165,34.994397,5
2016-04-02,14:48:22,31.74915,34.99442,5
2016-04-02,14:48:24,31.749125,34.994426,5
2016-04-02,14:48:26,31.749114,34.994463,5
2016-04-02,14:48:27,31.749112,34.994485,5
2016-04-02,14:48:28,31.749108,34.994509,5
2016-04-02,14:48:30,31.749097,34.994552,5
2016-04-02,14:48:31,31.749093,34.994571,5
2016-04-02,14:48:33,31.74908,34.99461,5
2016-04-02,14:48:34,31.749072,34.994631,5
2016-04-02,14:48:36,31.749058,34.994668,5
2016-04-02,14:48:37,31.749051,34.994683,5
2016-04-02,14:48:39,31.74904,34.994715,5
2016-04-02,14:48:41,31.749034,34.994745,5
2016-04-02,14:48:43,31.749053,34.994769,5
2016-04-02,14:48:45,31.749046,34.994801,5
2016-04-02,14:48:47,31.749036,34.994829,5
2016-04-02,14:48:48,31.749016,34.994834,5
2016-04-02,14:48:49,31.749005,34.994846,5
2016-04-02,14:48:51,31.748988,34.994875,5
2016-04-02,14:48:52,31.748981,34.994889,5
2016-04-02,14:48:53,31.748975,34.994903,5
2016-04-02,14:48:54,31.748973,34.994917,5
2016-04-02,14:48:55,31.748975,34.994935,5
2016-04-02,14:48:57,31.748986,34.994972,5
2016-04-02,14:48:58,31.748991,34.994991,5
2016-04-02,14:48:59,31.748994,34.995011,5
2016-04-02,14:49:01,31.74899,34.995058,5
2016-04-02,14:49:03,31.748966,34.995108,5
2016-04-02,14:49:04,31.748949,34.99513,5
2016-04-02,14:49:06,31.748903,34.995184,5
2016-04-02,14:49:07,31.748884,34.995202,5
2016-04-02,14:49:08,31.748869,34.995207,5
2016-04-02,14:49:09,31.748858,34.995209,5
2016-04-02,14:49:11,31.748854,34.995208,5
2016-04-02,14:49:13,31.748849,34.995211,5
2016-04-02,14:49:15,31.748834,34.995211,5
2016-04-02,14:49:17,31.748804,34.995204,5
2016-04-02,14:49:19,31.748779,34.995201,5
2016-04-02,14:49:21,31.748758,34.995211,5
2016-04-02,14:49:23,31.74874,34.995229,5
2016-04-02,14:49:24,31.748732,34.995236,5
2016-04-02,14:49:26,31.748707,34.995259,5
2016-04-02,14:49:27,31.74869,34.995267,5
2016-04-02,14:49:29,31.748654,34.995279,5
2016-04-02,14:49:31,31.748627,34.995299,5
